,Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,whiff,hits,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_k,wind_k,experiment
3748,124.933333333329,183.425959174651,62.6251488312676,5.44926346410206,0,1,23.930641967983018,-1.9500000000000137,1998.939901107932,7.935759619928817,7083.26915224483,-0.6719765263747941,0,30,0.0,3,6.866666666666659,2.0626344233634537,0.0,0.0,6.899999999999992,2.0668627594729747,0,30,1,case19
3749,124.966666666662,182.788199137033,61.8398647206314,5.37646346410206,0,1,30.349103775897817,-2.1059999999999968,1999.951537900462,7.939775801907946,7085.330481068851,-0.6163305642539936,0,30,0.0,3,6.899999999999992,2.0668627594729747,0.0,0.0,6.9333333333333265,2.0710732920093187,0,30,1,case19
3750,124.999999999995,182.834848602138,61.2935087676067,5.30886346410206,0,1,16.45031610638823,-1.0139999999999827,2000.4998817706748,7.941952718352837,7087.373598027772,-0.5617292362318276,0,30,0.0,3,6.9333333333333265,2.0710732920093187,0.0,0.0,6.96666666666666,2.0752661702693542,0,30,1,case19
3751,125.033333333329,182.834848602138,61.2935087676067,5.30886346410206,0,1,0.0,-0.7020000000000167,2000.4998817706748,7.941952718352837,7089.416714986692,-0.5617292362318276,0,30,0.0,3,6.96666666666666,2.0752661702693542,0.0,0.0,6.999999999999993,2.079441541679835,0,30,1,case19
3752,125.066666666662,183.092682321568,60.9137683653256,5.26206346410206,0,1,13.769999999990569,-1.0140000000000093,2000.9588817706745,7.943774941053743,7091.4471739322025,-0.5224096906300975,0,30,0.0,3,6.999999999999993,2.079441541679835,0.0,0.0,7.033333333333326,2.083599551828499,0,30,1,case19
3753,125.099999999995,183.076659983539,60.3656586275138,5.24126346410206,0,1,16.45031610638628,-0.3119999999999926,2001.5072256408873,7.945951857498634,7093.45936255312,-0.5045619178017707,0,30,0.0,3,7.033333333333326,2.083599551828499,0.0,0.0,7.066666666666659,2.08774034449453,0,30,1,case19
3754,125.133333333329,182.817647330568,60.2142900521732,5.24126346410206,0,1,8.999999999985882,0.0,2001.8072256408868,7.947142852727983,7095.4665055548585,-0.5045619178017707,0,30,0.0,3,7.066666666666659,2.08774034449453,0.0,0.0,7.0999999999999925,2.0918640616783923,0,30,1,case19
3755,125.166666666662,182.817647330568,60.2142900521732,5.24126346410206,0,1,0.0,0.0,2001.8072256408868,7.947142852727983,7097.473648556597,-0.5045619178017707,0,30,0.0,3,7.0999999999999925,2.0918640616783923,0.0,0.0,7.133333333333326,2.0959708436310454,0,30,1,case19
3756,125.199999999995,182.299622024625,59.9115529014922,5.24126346410206,0,1,17.99999999999504,-0.1169999999999939,2002.4072256408867,7.949524843186684,7099.47070031998,-0.5045619178017707,0,30,0.0,3,7.133333333333326,2.0959708436310454,0.0,0.0,7.166666666666659,2.1000608288825706,0,30,1,case19
3757,125.233333333329,181.495165333009,58.9097892410835,5.23346346410206,0,1,38.543649282353556,-0.5849999999999962,2003.6920139502986,7.954625432344136,7101.434359961349,-0.4978123084146766,0,30,0.0,3,7.166666666666659,2.1000608288825706,0.0,0.0,7.199999999999992,2.1041341542702066,0,30,1,case19
3758,125.266666666662,181.099605579999,58.5945358005018,5.20226346410206,0,1,15.174551887944897,-0.7019999999999901,2004.1978323465635,7.9566335233337,7103.3875111546995,-0.47051513732379474,0,30,0.0,3,7.199999999999992,2.1041341542702066,0.0,0.0,7.233333333333325,2.1081909549658207,0,30,1,case19
3759,125.299999999995,180.949858538057,57.3876364370793,5.18666346410206,0,1,36.484616278645774,-0.546000000000007,2005.4139862225184,7.961461634881763,7105.3004323692685,-0.456693130520496,0,30,0.0,3,7.233333333333325,2.1081909549658207,0.0,0.0,7.266666666666659,2.1122313645028257,0,30,1,case19
3760,125.333333333329,181.124543660482,57.0473551446113,5.16586346410206,0,1,11.47500000001317,-0.31200000000001926,2005.7964862225188,7.962980153799187,7107.202010874089,-0.4380914911545796,0,30,0.0,3,7.266666666666659,2.1122313645028257,0.0,0.0,7.299999999999993,2.1162555148025515,0,30,1,case19
3761,125.366666666662,181.124543660482,57.0473551446113,5.16586346410206,0,1,0.0,0.0,2005.7964862225188,7.962980153799187,7109.103589378909,-0.4380914911545796,0,30,0.0,3,7.299999999999993,2.1162555148025515,0.0,0.0,7.333333333333326,2.12026353620009,0,30,1,case19
3762,125.399999999995,181.124543660482,57.0473551446113,5.16586346410206,0,1,0.0,-0.7799999999999948,2005.7964862225188,7.962980153799187,7111.00516788373,-0.4380914911545796,0,30,0.0,3,7.333333333333326,2.12026353620009,0.0,0.0,7.366666666666659,2.1242555574696276,0,30,1,case19
3763,125.433333333329,180.620266550083,57.3973049209051,5.11386346410206,0,1,18.41423973452109,-1.4820000000000115,2006.4102942136694,7.96541696176318,7112.918411381093,-0.3907760079373416,0,30,0.0,3,7.366666666666659,2.1242555574696276,0.0,0.0,7.399999999999992,2.128231705849267,0,30,1,case19
3764,125.466666666662,181.839695998121,57.0839092903386,5.06706346410206,0,1,37.771715608380724,-1.0529999999999984,2007.6693514006154,7.970415398773621,7114.821208357438,-0.34728512762622804,0,30,0.0,3,7.399999999999992,2.128231705849267,0.0,0.0,7.433333333333326,2.132192107065364,0,30,1,case19
3765,125.499999999995,182.372622974638,56.2207644081199,5.04366346410206,0,1,30.432338474062817,-0.6239999999999852,2008.683762683084,7.974442595433688,7116.695233837709,-0.32524848045830246,0,30,0.0,3,7.433333333333326,2.132192107065364,0.0,0.0,7.466666666666659,2.1361368853563802,0,30,1,case19
3766,125.533333333329,182.621438062189,55.4973585384954,5.02546346410206,0,1,22.950000000003577,-0.2730000000000035,2009.4487626830842,7.977479633268533,7118.545145788992,-0.3079851241102348,0,30,0.0,3,7.466666666666659,2.1361368853563802,0.0,0.0,7.499999999999992,2.14006616349627,0,30,1,case19
3767,125.566666666662,182.431159827666,55.4357615136734,5.02546346410206,0,1,6.000000000008173,0.0,2009.6487626830844,7.978273630088101,7120.393004506114,-0.3079851241102348,0,30,0.0,3,7.499999999999992,2.14006616349627,0.0,0.0,7.533333333333325,2.143980062817406,0,30,1,case19
3768,125.599999999995,182.643207585616,54.780728691329,5.02546346410206,0,1,20.65500000000206,0.0,2010.3372626830844,7.981006964139461,7122.219028795826,-0.3079851241102348,0,30,0.0,3,7.533333333333325,2.143980062817406,0.0,0.0,7.566666666666658,2.1478787032330637,0,30,1,case19
3769,125.633333333329,182.072372882048,54.5959376168629,5.02546346410206,0,1,17.99999999999792,-0.42900000000001315,2010.9372626830843,7.983388954598163,7124.0388933830545,-0.3079851241102348,0,30,0.0,3,7.566666666666658,2.1478787032330637,0.0,0.0,7.599999999999992,2.151762203259461,0,30,1,case19
3770,125.666666666662,181.786955530264,54.5035420796298,4.99686346410206,0,1,8.999999999998948,-0.42900000000001315,2011.2372626830843,7.984579949827514,7125.855678119042,-0.28065309467096494,0,30,0.0,3,7.599999999999992,2.151762203259461,0.0,0.0,7.633333333333325,2.1556306800373815,0,30,1,case19
3771,125.699999999995,181.403031821081,54.3912808417614,4.99686346410206,0,1,12.000000000022373,0.0,2011.637262683085,7.9861679434666515,7127.668720813767,-0.28065309467096494,0,30,0.0,3,7.633333333333325,2.1556306800373815,0.0,0.0,7.666666666666659,2.1594842493533717,0,30,1,case19
3772,125.733333333329,180.34724162083,54.0825624376233,4.99686346410206,0,1,32.999999999994344,-0.7019999999999901,2012.737262683085,7.990534925974271,7129.471472895021,-0.28065309467096494,0,30,0.0,3,7.666666666666659,2.1594842493533717,0.0,0.0,7.699999999999992,2.1633230256605374,0,30,1,case19
3773,125.766666666662,180.891556142535,54.0026127568155,4.95006346410206,0,1,16.50464252870028,-0.6630000000000009,2013.2874174340416,7.992719031586917,7131.271559986915,-0.23544312343597665,0,30,0.0,3,7.699999999999992,2.1633230256605374,0.0,0.0,7.733333333333325,2.1671471220989407,0,30,1,case19
3774,125.799999999995,180.668287537018,54.4995145376439,4.95266346410206,0,1,16.342711678297018,0.038999999999989085,2013.8321744899847,7.994881708436195,7133.088210471504,-0.23796923392753344,0,30,0.0,3,7.733333333333325,2.1671471220989407,0.0,0.0,7.766666666666659,2.1709566505156084,0,30,1,case19
3775,125.833333333329,181.445305691227,54.6898899247859,4.95266346410206,0,1,23.999999999996916,0.19500000000002535,2014.6321744899847,7.998057695714465,7134.91120680233,-0.23796923392753344,0,30,0.0,3,7.766666666666659,2.1709566505156084,0.0,0.0,7.799999999999992,2.17475172148416,0,30,1,case19
3776,125.866666666662,181.445305691227,54.6898899247859,4.96566346410206,0,1,0.0,0.42900000000001315,2014.6321744899847,7.998057695714465,7136.7342031331555,-0.250575315171677,0,30,0.0,3,7.799999999999992,2.17475172148416,0.0,0.0,7.833333333333325,2.1785324443240657,0,30,1,case19
3777,125.899999999995,179.836913977257,53.7204383558916,4.98126346410206,0,1,56.33901157279051,0.07799999999997817,2016.510141542411,8.005513195048858,7138.524884411685,-0.26564652813534173,0,30,0.0,3,7.833333333333325,2.1785324443240657,0.0,0.0,7.866666666666658,2.1822989271195428,0,30,1,case19
3778,125.933333333329,179.583133999763,53.8885632291955,4.97086346410206,0,1,9.13253661368432,-0.7410000000000058,2016.8145594295338,8.006721729219832,7140.321169852658,-0.25560600967808794,0,30,0.0,3,7.866666666666658,2.1822989271195428,0.0,0.0,7.8999999999999915,2.1860512767380933,0,30,1,case19
3779,125.966666666662,177.899407327086,53.9973048574492,4.93186346410206,0,1,50.617034928957054,-1.3649999999999909,2018.5017939271656,8.01342002334475,7142.121080014574,-0.21771674297072535,0,30,0.0,3,7.8999999999999915,2.1860512767380933,0.0,0.0,7.933333333333325,2.1897895988487,0,30,1,case19
3780,125.999999999995,177.866096665411,54.1466346931111,4.87986346410206,0,1,4.590000000003747,-0.7799999999999948,2018.6547939271657,8.01402743091172,7143.9259678376775,-0.16669270179438286,0,30,0.0,3,7.933333333333325,2.1897895988487,0.0,0.0,7.966666666666658,2.1935139979396827,0,30,1,case19
3781,126.033333333329,177.274491327758,54.0466190720345,4.87986346410206,0,1,17.999999999971273,-0.6630000000000009,2019.2547939271647,8.016409421370417,7145.727521806745,-0.16669270179438286,0,30,0.0,3,7.966666666666658,2.1935139979396827,0.0,0.0,7.999999999999991,2.1972245773362182,0,30,1,case19
3782,126.066666666662,176.832494846462,53.6615539989338,4.83566346410206,0,1,17.586142271689063,-1.4430000000000092,2019.8409986695542,8.01873664487578,7147.516240273377,-0.1229624954007849,0,30,0.0,3,7.999999999999991,2.1972245773362182,0.0,0.0,8.033333333333324,2.2009214392175447,0,30,1,case19
