Time,X,Y,Theta,Odor,Wind
75.9333333333316,85.5665147968242,-12.2029853406727,1.94979,B,L
75.9666666666649,85.538210887588,-12.1319139770869,1.97059,B,L
75.9999999999983,85.0832127038809,-11.8258785987018,2.00439,B,L
76.0333333333316,85.0832127038809,-11.8258785987018,2.00439,B,L
76.0666666666649,84.7618097123717,-11.131670332366,2.06159,B,L
76.0999999999982,85.3675098749129,-9.50689848281374,2.10579,B,L
76.1333333333316,85.4305793156597,-9.0248938193053,2.12139,B,L
76.1666666666649,84.8302150523843,-8.04697817806535,2.12659,B,L
76.1999999999982,83.6216910202073,-7.80699502521787,2.13959,B,L
76.2333333333316,83.4193641377292,-7.11917522132539,2.16559,B,L
76.2666666666649,83.2907665957968,-6.92908860367717,2.16819,B,L
76.2999999999982,83.7868492674922,-6.59159492544965,2.16819,B,L
76.3333333333316,83.6577579355702,-6.40184330352615,2.19679,B,L
76.3666666666649,83.9026689055684,-5.37517350910609,2.19679,B,L
76.3999999999982,83.0406575907306,-4.86560458041087,2.17339,N,L
76.4333333333316,82.8195330802435,-4.36774496077713,2.12919,N,L
76.4666666666649,82.3736857259514,-3.65406268786379,2.08759,N,L
76.4999999999982,82.3736857259514,-3.65406268786379,2.08759,N,L
76.5333333333316,81.5232007808533,-3.16950349833029,2.07459,N,L
76.5666666666649,81.2604735406405,-3.31432890097144,2.07459,N,L
76.5999999999982,81.2604735406405,-3.31432890097144,2.07459,N,L
76.6333333333315,81.1127516299465,-3.0463471159544,2.10059,B,L
76.6666666666649,81.1127516299465,-3.0463471159544,2.12139,B,L
76.6999999999982,81.1527759141649,-3.11154149203706,2.12658999999999,L,L
76.7333333333315,80.7491483909741,-2.46168779887002,2.11358999999999,B,L
76.7666666666649,80.6042857469544,-1.83434513782453,2.07199,B,L
76.7999999999982,80.165780917258,-2.07458150961891,2.01479,B,L
76.8333333333315,80.4366939341344,-1.94571670726032,2.01479,B,L
76.8666666666649,79.3445162170026,-1.27924177584823,1.99139,R,L
76.8999999999982,79.0946351129463,-0.720579593634677,1.99139,R,L
76.9333333333315,79.1883405269674,-0.93007791196476,2.01479,R,L
76.9666666666649,78.7368188321734,-1.14485258256241,2.01479,R,L
76.9999999999982,79.0897589531631,-0.722829454054303,2.03039,R,L
77.0333333333315,79.0897589531631,-0.722829454054303,2.03299,R,L
77.0666666666649,78.5355081368981,-0.058805145260117,2.04859,R,L
77.0999999999982,78.6813756804988,0.964349246669023,2.09279,R,L
77.1333333333315,79.048897339024,1.52876383765236,2.13699,R,L
77.1666666666649,78.7546762676392,1.43239884840242,2.13959,R,L
77.1999999999982,79.3856663298783,1.74497490531561,2.11099,R,L
77.2333333333315,79.149601667264,2.13861747804471,2.02779,R,L
77.2666666666648,78.9355377836647,2.80059096976349,1.92119,R,L
77.2999999999982,79.4617042870024,3.40013668175324,1.83539,R,L
77.3333333333315,80.0573192426758,3.87854949991165,1.79379,R,L
77.3666666666648,79.9936312400725,3.70722279935272,1.73399,R,L
77.3999999999982,80.9181998010838,4.24711095998365,1.67159,R,L
77.4333333333315,80.9181998010838,4.24711095998365,1.67159,R,L
77.4666666666648,80.872013801275,4.70378135909187,1.57799,R,L
77.4999999999982,80.567619073551,5.31360744063796,1.51299,N,L
77.5333333333315,81.2752892923378,5.42590998487553,1.48179,N,L
77.5666666666648,81.3160892760687,5.88309305688013,1.45319,N,L
77.5999999999982,81.3071131174199,5.80712149262143,1.42719,N,L
77.6333333333315,81.3399576064507,6.03425909307611,1.38819,N,L
77.6666666666648,81.3955251197244,6.33517145817362,1.33359,N,L
77.6999999999982,81.5826078932458,6.68346197749843,1.24259,N,L
77.7333333333315,81.5826078932458,6.68346197749843,1.24259,N,L
77.7666666666648,83.0558353997103,6.66667763371176,1.21139,N,L
77.7999999999982,84.7548411280143,6.35520446441748,1.19059,N,L
77.8333333333315,84.7548411280143,6.35520446441748,1.19059,N,L
77.8666666666648,84.9973388917068,6.42305602743633,1.19059,N,L
77.8999999999981,85.2682267287479,6.56194457895604,1.17239,N,L
77.9333333333315,85.2682267287479,6.56194457895604,1.17239,N,L
77.9666666666648,85.7852897672688,6.75930735203008,1.10739,N,L
77.9999999999981,87.242810842635,6.54410206663159,1.05019,N,L
78.0333333333315,86.8958037432608,6.74306455803108,1.05019,N,L
78.0666666666648,86.8958037432608,6.74306455803108,1.05019,N,L
78.0999999999981,86.8090519684172,6.79280518088095,1.05019,N,L
78.1333333333315,87.6126779855532,7.39022398254531,0.979989999999996,N,L
78.1666666666648,87.6574673859987,7.63652493586815,0.938389999999996,N,L
78.1999999999981,88.2318682598527,7.40528342550359,0.896789999999996,N,L
78.2333333333315,88.8482287119997,7.69621948897668,0.860389999999996,N,L
78.2666666666648,89.3471172348646,8.2761636602153,0.829189999999996,N,L
78.2999999999981,89.6420710267549,8.00597435500589,0.829189999999996,N,L
78.3333333333315,90.1216548937791,8.08538193959392,0.808389999999996,N,L
78.3666666666648,90.7028483478274,8.69393466448421,0.787589999999996,N,L
78.3999999999981,91.6002289787157,9.31179306517691,0.774589999999996,N,B
78.4333333333314,92.3085257558825,9.02552103466215,0.764189999999996,N,B
78.4666666666648,92.3085257558825,9.02552103466215,0.748589999999996,N,B
78.4999999999981,92.5887640947235,9.28585298322717,0.727789999999996,N,B
78.5333333333314,92.7218083292009,9.13652371056994,0.727789999999996,N,B
