Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,whiff,hits_count,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_count_k,wind_k,experiment,log_tblank_digi,log_tblank_k_digi,state_num_i,state_num_k,state_cat_i,state_cat_k,state_i,state_k,action
6.29999999999999,248.590976106152,-16.1507653308139,4.30019,3,1,25.711662723378076,-1.4819999999999849,101.0817981999168,0.39993321464434267,-37.340519265040996,0.40062509331861534,1,7,27.0,3,0.0,0.0,0.0999999999999999,0.09531017980432477,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.33333333333332,248.315464981114,-16.5312579325553,4.32359,3,1,14.093008905116148,-0.7020000000000167,101.55156516342068,0.4017918619497284,-37.89156119612617,0.37907730726594907,1,7,27.0,3,0.0,0.0,0.1333333333333332,0.12516314295400588,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.36666666666665,248.054470255061,-17.1683717394789,4.32359,3,1,20.65500000000343,0.0,102.2400651634208,0.40451593317903206,-38.463840254108796,0.37907730726594907,1,7,27.0,3,0.0,0.0,0.1666666666666665,0.15415067982725814,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,1
6.39999999999999,247.967472013043,-17.3807430084534,4.31579,3,1,6.885000000004208,0.23400000000001445,102.46956516342094,0.40542395692213373,-39.043198354390576,0.386283549654096,1,7,27.0,3,0.0,0.0,0.1999999999999998,0.18232155679395445,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,2
6.43333333333332,247.668379163809,-17.836049188443,4.31579,3,1,16.342711678288598,0.0,103.01432221936389,0.40757930481327986,-39.63773332733867,0.386283549654096,1,7,27.0,3,0.0,0.0,0.2333333333333331,0.2097205309820689,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,1
6.46666666666665,247.491075014518,-18.2594216469758,4.32359,3,1,13.769999999997037,-0.23400000000001445,103.4733222193638,0.40939535229948165,-40.2463807155712,0.37907730726594907,1,7,27.0,3,0.0,0.0,0.2666666666666664,0.23638877806423017,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.49999999999999,247.705147429808,-18.2644466854375,4.33919,3,1,6.423941547030818,-0.46800000000000225,103.68745360426482,0.41024256964864614,-40.85519560508578,0.3645960734790289,1,7,27.0,3,0.0,0.0,0.2999999999999997,0.2623642644674908,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.53333333333332,247.984930899458,-19.1955461484976,4.38079,3,1,29.16680476158094,-1.2479999999999971,104.65968042965085,0.41408921470803745,-41.495047143369035,0.3255553166541406,1,7,27.0,3,0.0,0.0,0.333333333333333,0.2876820724517806,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.56666666666665,246.999300039907,-19.9079800462741,4.42239,3,1,36.484616278648254,-1.2479999999999971,105.87583430560579,0.4189009645757128,-42.15864647824484,0.2859512480645604,1,7,27.0,3,0.0,0.0,0.36666666666666625,0.3123746850421521,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.59999999999999,246.733702060262,-19.7488889930736,4.44319,3,1,9.28800436046193,-0.6240000000000119,106.18543445095452,0.42012590698461993,-42.81694277801396,0.26595935180696856,1,7,27.0,3,0.0,0.0,0.3999999999999996,0.3364722366212126,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.63333333333332,246.570934936956,-20.3388473505623,4.45099,3,1,18.360000000001875,-0.2339999999999878,106.79743445095458,0.4225473036328898,-43.494904356366035,0.25843226050246776,1,7,27.0,3,0.0,0.0,0.4333333333333329,0.36000273403140676,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.66666666666665,246.702583208104,-21.0075870104477,4.45099,3,1,20.447239422472276,0.0,107.47900909837033,0.4252439744936708,-44.19515725671429,0.25843226050246776,1,7,27.0,3,0.0,0.0,0.4666666666666662,0.38299225225610545,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,1
6.69999999999999,246.702583208104,-21.0075870104477,4.45099,3,1,0.0,0.0,107.47900909837033,0.4252439744936708,-44.89541015706254,0.25843226050246776,1,7,27.0,3,0.0,0.0,0.49999999999999944,0.40546510810816405,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,0
6.73333333333332,246.583962800534,-21.4509944967487,4.44839,3,1,13.769999999994706,0.07800000000000482,107.93800909837015,0.42706002197987225,-45.61044330695417,0.2609430605650888,1,7,27.0,3,0.0,0.0,0.5333333333333328,0.4274440148269393,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,2
6.76666666666665,246.207957363306,-22.458794532061,4.47179,3,1,32.26975209078073,-0.7020000000000167,109.01366750139617,0.43131589722786273,-46.3590697913562,0.23828439614500874,1,7,27.0,3,0.0,0.0,0.5666666666666661,0.44895022004790286,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,3
6.79999999999999,246.402196447587,-22.50645141129,4.47179,3,1,6.000000000012109,0.0,109.21366750139657,0.4321072033220701,-47.1092848383992,0.23828439614500874,1,7,27.0,3,0.0,0.0,0.5999999999999994,0.4700036292457352,0.0,0.0,3,7,1,case124.csv,0,0,0,0,3,3,48,48,1
6.83333333333332,245.455205543104,-22.5891812537087,4.48479,3,1,28.517931201265604,-0.3899999999999974,110.16426520810542,0.4358682721143536,-47.862257546856156,0.2256390765352498,1,7,27.0,3,0.0,0.0,0.6333333333333326,0.49062291644847084,0.0,0.0,0,7,1,case124.csv,0,0,0,0,3,0,48,0,3
6.86666666666665,245.351637206974,-23.0363440873067,4.51079,0,1,13.770000000004213,-0.7799999999999948,110.62326520810556,0.43768431960055637,-48.63013568309971,0.20023618338825236,0,7,26.0,3,0.0,0.0,0.666666666666666,0.5108256237659902,0.0333333333333333,0.03278982282299084,0,7,1,case124.csv,0,0,0,0,0,0,0,0,3
6.89999999999999,245.394406058028,-23.8258982813805,4.52119,0,1,23.721351141956692,-0.3119999999999926,111.41397691283746,0.4408127945541271,-49.42433229247906,0.19003616276258153,0,7,25.0,3,0.0333333333333333,0.03278982282299084,0.0,0.0,0.0666666666666666,0.06453852113757111,0,7,1,case124.csv,0,0,0,0,0,0,0,0,3
6.93333333333332,244.9690330326,-24.444840959856,4.53159,0,1,22.53062415913454,-0.3119999999999926,112.16499771814193,0.44378423125469074,-50.239160324474256,0.1798155880108085,0,7,24.0,3,0.0666666666666666,0.06453852113757111,0.0,0.0,0.0999999999999999,0.09531017980432477,0,7,1,case124.csv,0,0,0,0,0,0,0,0,3
6.96666666666665,244.774371751454,-24.9536309318708,4.54199,0,1,16.342711678305044,-0.31200000000001926,112.70975477408544,0.44593957914583915,-51.07094802220328,0.1695755645803337,0,7,23.0,3,0.0999999999999999,0.09531017980432477,0.0,0.0,0.1333333333333332,0.12516314295400588,0,7,1,case124.csv,0,1,0,1,0,0,0,1,3
6.99999999999998,244.761399220764,-25.0290229967548,4.57839,0,1,2.2949999999953654,-1.0919999999999874,112.78625477408528,0.4462422537268722,-51.905248788761774,0.1335983320711815,0,7,22.0,3,0.1333333333333332,0.12516314295400588,0.0,0.0,0.1666666666666665,0.15415067982725814,0,7,1,case124.csv,1,1,1,1,0,0,1,1,3
7.03333333333332,244.761399220764,-25.0290229967548,4.57839,0,1,0.0,0.0,112.78625477408528,0.4462422537268722,-52.73954955532027,0.1335983320711815,0,7,21.0,3,0.1666666666666665,0.15415067982725814,0.0,0.0,0.1999999999999998,0.18232155679395445,0,7,1,case124.csv,1,1,1,1,0,0,1,1,0
7.06666666666665,244.669416769133,-25.7113509813722,4.64339,0,1,20.655000000001962,-1.9500000000000137,113.47475477408534,0.44896632495617567,-53.59659458803267,0.0689442443430024,0,7,20.0,3,0.1999999999999998,0.18232155679395445,0.0,0.0,0.2333333333333331,0.2097205309820689,0,7,1,case124.csv,1,1,1,1,0,0,1,1,3
7.09999999999998,243.955259704829,-25.8920439184352,4.69539,0,1,22.099846718920723,-1.5599999999999896,114.2114163313827,0.45188094885445806,-54.45966271864718,0.01699816171051076,0,7,20.0,3,0.2333333333333331,0.2097205309820689,0.0,0.0,0.2666666666666664,0.23638877806423017,0,7,1,case124.csv,1,1,1,1,0,0,1,1,3
7.13333333333332,242.954103824646,-25.9515347040668,4.67199,0,1,30.08765569132993,0.7019999999999901,115.21433818776036,0.455849039739277,-55.324713875449405,0.04038799223613687,0,7,20.0,3,0.2666666666666664,0.23638877806423017,0.0,0.0,0.2999999999999997,0.2623642644674908,0,7,1,case124.csv,1,1,1,1,0,0,1,1,2
7.16666666666665,242.944834780428,-26.1808474486304,4.63819,0,1,6.885000000000416,1.0140000000000093,115.44383818776038,0.4567570634823781,-56.19740879040375,0.07413091551602223,0,7,20.0,3,0.2999999999999997,0.2623642644674908,0.0,0.0,0.333333333333333,0.2876820724517806,0,7,1,case124.csv,1,1,1,1,0,0,1,1,2
7.19999999999998,242.346485669414,-26.1363688993208,4.63819,0,1,17.999999999998774,0.0,116.04383818776033,0.4591309817649951,-57.068621087047774,0.07413091551602223,0,7,19.0,3,0.333333333333333,0.2876820724517806,0.0,0.0,0.36666666666666625,0.3123746850421521,3,8,1,case124.csv,1,1,1,1,0,3,1,49,1
7.23333333333332,243.038888617226,-26.2645500518363,4.57839,3,1,21.125033136046707,1.7940000000000043,116.74800595896188,0.4619170430084704,-57.94410608877565,0.1335983320711815,1,8,19.0,3,0.36666666666666625,0.3123746850421521,0.0,0.0,0.0,0.0,3,8,1,case124.csv,1,0,1,0,3,3,49,48,2
7.26666666666665,242.772238765758,-25.9970278906758,4.53159,3,1,11.331514682508397,1.4040000000000068,117.1257231150455,0.4634114924459456,-58.810673685131505,0.1798155880108085,1,8,19.0,3,0.0,0.0,0.0333333333333333,0.03278982282299084,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.29999999999998,242.662191625896,-26.5990524973225,4.46139,3,1,18.35999999999805,2.1059999999999968,117.73772311504544,0.4658328890942149,-59.697308768375585,0.2483717601474613,1,8,19.0,3,0.0,0.0,0.0666666666666666,0.06453852113757111,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.33333333333332,242.257589552014,-26.9691581063187,4.39639,3,1,16.450316106387483,1.949999999999987,118.28606698525836,0.4680024283253141,-60.59628070525287,0.31076614340949976,1,8,19.0,3,0.0,0.0,0.0999999999999999,0.09531017980432477,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.36666666666665,242.281363161985,-26.8964458964159,4.31839,3,1,2.2950000000005644,2.3400000000000114,118.36256698525838,0.46830510290634786,-61.49282890180007,0.38388405850012275,1,8,19.0,3,0.0,0.0,0.1333333333333332,0.12516314295400588,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.39999999999998,242.235339117478,-27.788636479939,4.22479,3,1,26.80130640472712,2.8080000000000136,119.25594386541596,0.47183977575480385,-62.4191167844647,0.46850603515208056,1,8,19.0,3,0.0,0.0,0.1666666666666665,0.15415067982725814,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.43333333333332,241.351878821241,-27.3201304447869,4.22479,3,1,30.000000000016385,0.0,120.2559438654165,0.4757963062258347,-63.329787799290926,0.46850603515208056,1,8,19.0,3,0.0,0.0,0.1999999999999998,0.18232155679395445,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,1
7.46666666666665,240.769297325565,-26.9245915075184,4.20399,3,1,21.125033136060015,0.6239999999999852,120.96011163661849,0.4785823674693117,-64.22727418287488,0.4867793407405446,1,8,19.0,3,0.0,0.0,0.2333333333333331,0.2097205309820689,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.49999999999998,239.895772355442,-26.4378121667778,4.14159,3,1,30.00000000000329,1.872000000000009,121.9601116366186,0.4825388979403408,-65.10853458843414,0.540304538785054,1,8,19.0,3,0.0,0.0,0.2666666666666664,0.23638877806423017,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.53333333333332,239.811625400336,-26.3837817128993,4.09479,3,1,2.999999999989372,1.4040000000000068,122.06011163661825,0.4829345509874423,-65.98799397886411,0.579079349473349,1,8,19.0,3,0.0,0.0,0.2999999999999997,0.2623642644674908,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.56666666666665,239.315390666777,-26.218978529648,4.04019,3,1,15.686557939844999,1.6379999999999946,122.58299690127974,0.48500336246992737,-66.86195992985238,0.6227080927229984,1,8,19.0,3,0.0,0.0,0.333333333333333,0.2876820724517806,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.59999999999998,238.420633178106,-25.8979722423787,3.98819,3,1,28.517931201252317,1.560000000000003,123.53359460798815,0.4887644312622092,-67.725225671265,0.6625356672638335,1,8,19.0,3,0.0,0.0,0.36666666666666625,0.3123746850421521,0.0,0.0,3,8,1,case124.csv,0,0,0,0,3,3,48,48,2
7.63333333333332,237.990942291658,-26.232824436793,3.95699,3,1,16.34271167831323,0.9360000000000045,124.07835166393193,0.4909197791533586,-68.59965315249143,0.6855791801662471,1,8,19.0,3,0.0,0.0,0.3999999999999996,0.3364722366212126,0.0,0.0,3,8,3,case124.csv,0,0,0,0,3,3,48,48,2
7.66666666666665,237.626943257414,-25.8900348467099,3.91539,3,3,14.99999999999691,1.2479999999999971,124.57835166393183,0.4928980443888726,-69.46265431404842,0.7152620332423909,1,8,19.0,3,0.0,0.0,0.4333333333333329,0.36000273403140676,0.0,0.0,3,8,3,case124.csv,0,0,0,0,3,3,48,48,2
7.69999999999998,237.353355529699,-26.1573474076636,3.87899,3,3,11.474999999995678,1.0920000000000007,124.96085166393168,0.4944114172940404,-70.33456589430388,0.7402209934822163,1,8,19.0,3,0.0,0.0,0.4666666666666662,0.38299225225610545,0.0,0.0,3,8,3,case124.csv,0,0,0,0,3,3,48,48,2
