Time,x_mm,y_mm,theta_rad,antennae,wind,linear_vel,angular_vel,traveled_distance,tortuosity,cdv,heading,hit_hz,whiff,hits,hit_rate,lasthit,tblank,log_tblank,twhiff,log_twhiff,tblank_k,log_tblank_k,antennae_k,hits_k,wind_k,experiment,log_tblank_digi,log_tblank_k_digi,state_num_i,state_num_k,state_cat_i,state_cat_k,state_i,state_k,action
64.7666666666656,348.265082297614,-87.2374920787085,6.23763407846123,0,0,14.583402380792492,-3.198000000000011,1172.9142050863475,4.640355521908551,-3494.5646623525035,-0.9989627221549643,0.0,0,7,0.0,3,1.0666666666666655,0.7259370033829357,0.0,0.0,1.0999999999999988,0.7419373447293767,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.7999999999989,348.32883196663,-85.8389442676915,0.0324487712816426,0,0,42.00000000000089,-2.339999999999958,1174.3142050863476,4.645894288258639,-3497.42596049476,-0.9994735848131318,0.0,0,7,0.0,3,1.0999999999999988,0.7419373447293767,0.0,0.0,1.1333333333333322,0.7576857016975159,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.8333333333322,348.175912508154,-85.8439080585092,0.110448771281643,0,0,4.589999999987508,-2.3400000000000145,1174.4672050863471,4.6464995962954685,-3500.2874240967103,-0.9939067325203651,0.0,0,7,0.0,3,1.1333333333333322,0.7576857016975159,0.0,0.0,1.1666666666666654,0.7731898882334811,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.8666666666656,348.032620854818,-84.5518293062327,0.113048771281643,0,0,39.00000000000179,-0.07800000000000024,1175.767205086347,4.651642736477692,-3503.105818406918,-0.9936167901337141,0.0,0,7,0.0,3,1.1666666666666654,0.7731898882334811,0.0,0.0,1.1999999999999988,0.7884573603642696,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.8999999999989,348.58135625792,-83.2818207600477,0.222248771281643,0,0,41.50456631505063,-3.2760000000000034,1177.150690630182,4.65711616731771,-3505.8818790989194,-0.9754042336929009,0.0,0,7,0.0,3,1.1999999999999988,0.7884573603642696,0.0,0.0,1.233333333333332,0.8034952377288102,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.9333333333322,348.678017045757,-83.3624987749877,0.315848771281643,0,0,3.7771715608287026,-2.8080000000000034,1177.2765963488762,4.657614283287701,-3508.6606290580858,-0.9505330731394017,0.0,0,7,0.0,3,1.233333333333332,0.8034952377288102,0.0,0.0,1.2666666666666653,0.8183103235139507,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
64.9666666666655,348.584830035299,-83.0773388530458,0.315848771281643,0,0,9.000000000000385,0.0,1177.5765963488761,4.658801161791291,-3511.4298736865208,-0.9505330731394017,0.0,0,7,0.0,3,1.2666666666666653,0.8183103235139507,0.0,0.0,1.2999999999999987,0.8329091229351034,0,7,0,case14.csv,4,4,4,4,0,0,4,4,1
64.9999999999989,348.87569315568,-82.9822881023785,0.432848771281643,0,0,9.1800000000094,-3.5100000000000033,1177.8825963488764,4.660011777864955,-3514.1959499566,-0.9077744933587717,0.0,0,7,0.0,3,1.2999999999999987,0.8329091229351034,0.0,0.0,1.333333333333332,0.847297860387203,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
65.0333333333322,348.680410844069,-82.7420443329023,0.542048771281643,0,0,9.28800436047699,-3.2760000000000025,1178.1921964942255,4.661236637055699,-3516.95401810103,-0.8566535349462381,0.0,0,7,0.0,3,1.333333333333332,0.847297860387203,0.0,0.0,1.3666666666666651,0.8614824953791593,0,7,0,case14.csv,4,4,4,4,0,0,4,4,3
65.0666666666655,348.478243881488,-81.8131931503974,0.640848771281643,0,0,28.51793120126306,-2.964000000000003,1179.1427942009343,4.664997450334548,-3519.681124539377,-0.8015885866850334,0.0,0,7,0.0,3,1.3666666666666651,0.8614824953791593,0.0,0.0,1.3999999999999986,0.8754687373538993,0,7,0,case14.csv,4,5,4,5,0,0,4,5,3
65.0999999999989,348.728131763055,-81.2525539646047,0.739648771281643,0,0,18.414239734517665,-2.964000000000003,1179.756602192085,4.667425835367976,-3522.3895430048638,-0.7387053424543878,0.0,0,7,0.0,3,1.3999999999999986,0.8754687373538993,0.0,0.0,1.4333333333333318,0.8892620594862352,0,7,2,case14.csv,5,5,5,5,0,0,5,5,3
65.1333333333322,348.930340312658,-81.474165567341,0.789048771281643,0,2,8.99999999999568,-1.4820000000000015,1180.056602192085,4.668612713871567,-3525.1053485237753,-0.7045207055509453,0.0,0,7,0.0,3,1.4333333333333318,0.8892620594862352,0.0,0.0,1.466666666666665,0.9028677115420137,0,7,2,case14.csv,5,5,5,5,0,0,5,5,3
65.1666666666655,348.859371969332,-81.4037134967859,0.809848771281643,0,2,2.9999999999908264,-0.6240000000000019,1180.1566021920846,4.669008340039428,-3527.8188056403346,-0.6896079580879739,0.0,0,7,0.0,3,1.466666666666665,0.9028677115420137,0.0,0.0,1.4999999999999984,0.9162907318741544,0,7,2,case14.csv,5,5,5,5,0,0,5,5,3
65.1999999999989,348.859371969332,-81.4037134967859,0.809848771281643,0,2,0.0,0.0,1180.1566021920846,4.669008340039428,-3530.532262756894,-0.6896079580879739,0.0,0,7,0.0,3,1.4999999999999984,0.9162907318741544,0.0,0.0,1.5333333333333317,0.929535958624175,0,7,0,case14.csv,5,5,5,5,0,0,5,5,0
65.2333333333322,349.307310153362,-81.5133567058197,0.731848771281643,0,0,13.834855438325505,2.340000000000001,1180.6177640400288,4.670832816986098,-3533.2493746470877,-0.7439402401313839,0.0,0,7,0.0,3,1.5333333333333317,0.929535958624175,0.0,0.0,1.566666666666665,0.9426080401915279,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.2666666666655,348.728282682873,-81.8990501571754,0.614848771281643,0,0,20.87172788725447,3.510000000000007,1181.3134883029372,4.673585284226339,-3535.9793429856604,-0.8168606902585052,0.0,0,7,0.0,3,1.566666666666665,0.9426080401915279,0.0,0.0,1.5999999999999983,0.9555114450274357,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.2999999999989,347.97359822602,-82.5543986298095,0.471848771281643,0,0,29.985450221722925,4.290000000000004,1182.313003310328,4.677539627147298,-3538.7311562733207,-0.8907294818442135,0.0,0,7,0.0,3,1.5999999999999983,0.9555114450274357,0.0,0.0,1.6333333333333315,0.9682504708048655,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.3333333333322,347.791784699494,-82.1981068370719,0.471848771281643,0,0,11.99999999999978,0.0,1182.713003310328,4.679122131818752,-3541.4710931678896,-0.8907294818442135,0.0,0,7,0.0,3,1.6333333333333315,0.9682504708048655,0.0,0.0,1.666666666666665,0.9808292530117255,0,7,0,case14.csv,5,5,5,5,0,0,5,5,1
65.3666666666655,348.223945228768,-84.5597311778462,0.321048771281643,0,0,72.0251971534966,4.5240000000000045,1185.1138432154446,4.6886204827319,-3544.289750873818,-0.9489049877259474,0.0,0,7,0.0,3,1.666666666666665,0.9808292530117255,0.0,0.0,1.6999999999999982,0.9932517730102827,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.3999999999989,348.034608077799,-83.9903881852106,0.165048771281643,0,0,18.00000000000774,4.680000000000005,1185.713843215445,4.690994239739082,-3547.0894304799917,-0.9864103433764896,0.0,0,7,0.0,3,1.6999999999999982,0.9932517730102827,0.0,0.0,1.7333333333333316,1.0055218656020972,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.4333333333322,348.576210473823,-84.9139536104085,0.0532487712816426,0,0,32.119707735281104,3.3540000000000156,1186.7845001399544,4.695230038700482,-3549.919895600339,-0.9985826191331967,0.0,0,7,0.0,3,1.7333333333333316,1.0055218656020972,0.0,0.0,1.7666666666666648,1.017643226134442,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.4666666666655,348.641957321992,-84.7101654803424,6.25843407846123,0,0,6.4239415470563035,2.3399999999999848,1186.9986315248564,4.696077198492763,-3552.7435677830167,-0.9996937039759521,0.0,0,7,0.0,3,1.7666666666666648,1.017643226134442,0.0,0.0,1.799999999999998,1.0296194171811575,0,7,0,case14.csv,5,5,5,5,0,0,5,5,2
65.4999999999988,348.183097911867,-84.6988058263084,6.23763407846123,0,0,13.77000000000119,0.6239999999999852,1187.4576315248564,4.697893122603256,-3555.5668613105604,-0.9989627221549643,0.0,0,7,0.0,3,1.799999999999998,1.0296194171811575,0.0,0.0,1.8333333333333315,1.0414538748281603,0,7,0,case14.csv,5,6,5,6,0,0,5,6,2
65.5333333333322,348.183097911867,-84.6988058263084,6.27143407846123,0,0,0.0,-1.0139999999999827,1187.4576315248564,4.697893122603256,-3558.390154838104,-0.999930955106352,0.0,0,7,0.0,3,1.8333333333333315,1.0414538748281603,0.0,0.0,1.8666666666666647,1.0531499145913517,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.5666666666655,348.174872241083,-85.3987574948829,6.27143407846123,0,0,21.00000000000157,0.0,1188.1576315248565,4.7006625057783005,-3561.2367800879333,-0.999930955106352,0.0,0,7,0.0,3,1.8666666666666647,1.0531499145913517,0.0,0.0,1.899999999999998,1.0647107369924276,0,7,0,case14.csv,6,6,6,6,0,0,6,6,1
65.5999999999988,347.47466882023,-86.3905979152251,0.0506487712816428,0,0,36.42291895220535,-1.8719999999999823,1189.3717288232633,4.70546579239412,-3564.1164666851073,-0.9987176251584674,0.0,0,7,0.0,3,1.899999999999998,1.0647107369924276,0.0,0.0,1.9333333333333313,1.0761394328160505,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.6333333333322,346.32864034536,-86.4486925344996,0.133848771281643,0,0,34.425000000020816,-2.4960000000000084,1190.519228823264,4.710005602670355,-3566.9980897695905,-0.9910556187672167,0.0,0,7,0.0,3,1.9333333333333313,1.0761394328160505,0.0,0.0,1.9666666666666646,1.0874389880699837,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.6666666666655,345.722114306675,-86.5303636089167,0.235248771281643,0,0,18.359999999984083,-3.042000000000004,1191.1312288232634,4.712426834817677,-3569.882435223221,-0.9724563865922424,0.0,0,7,0.0,3,1.9666666666666646,1.0874389880699837,0.0,0.0,1.9999999999999978,1.098612288668109,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.6999999999988,344.959344119728,-86.3018600161532,0.328848771281643,0,0,23.887842619226284,-2.8080000000000034,1191.9274902439042,4.715577053362333,-3572.759163890426,-0.9464147641783297,0.0,0,7,0.0,3,1.9999999999999978,1.098612288668109,0.0,0.0,2.033333333333331,1.1096621248546938,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.7333333333322,344.283252173214,-86.2155832530067,0.448448771281643,0,0,20.447239422476343,-3.588000000000003,1192.60906489132,4.718273541021032,-3575.633016665526,-0.9011207497326259,0.0,0,7,0.0,3,2.033333333333331,1.1096621248546938,0.0,0.0,2.0666666666666647,1.1205911953868843,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.7666666666655,344.500036279182,-86.6661436278731,0.448448771281643,0,0,15.000000000002524,0.0,1193.10906489132,4.72025167186035,-3578.5218881197884,-0.9011207497326259,0.0,0,7,0.0,3,2.0666666666666647,1.1205911953868843,0.0,0.0,2.099999999999998,1.1314021114911,0,7,0,case14.csv,6,6,6,6,0,0,6,6,1
65.7999999999988,343.384911704829,-85.7600303989254,0.570648771281643,0,0,43.105563446032996,-3.666000000000005,1194.545917006188,4.725936234820265,-3581.3805557997525,-0.8415507002311435,0.0,0,7,0.0,3,2.099999999999998,1.1314021114911,0.0,0.0,2.133333333333331,1.1420974006078477,0,7,0,case14.csv,6,6,6,6,0,0,6,6,3
65.8333333333322,343.763036400242,-86.3491158890872,0.570648771281643,0,0,21.000000000007873,0.0,1195.2459170061882,4.728705617995311,-3584.258859662722,-0.8415507002311435,0.0,0,7,0.0,3,2.133333333333331,1.1420974006078477,0.0,0.0,2.1666666666666643,1.1526795099383846,0,7,0,case14.csv,6,6,6,6,0,0,6,6,1
65.8666666666655,343.266515262631,-85.7171989563295,0.695448771281643,0,0,24.109479981957218,-3.744000000000001,1196.0495663389202,4.731885065053458,-3587.116099627933,-0.76776623786593,0.0,0,7,0.0,3,2.1666666666666643,1.1526795099383846,0.0,0.0,2.1999999999999975,1.16315080980568,0,7,2,case14.csv,6,6,6,6,0,0,6,6,3
65.8999999999988,342.919449447802,-86.1370865248248,0.835848771281643,0,2,16.342711678293934,-4.212000000000007,1196.5943233948633,4.734040266518051,-3589.9873358454274,-0.6705482497826071,0.0,0,7,0.0,3,2.1999999999999975,1.16315080980568,0.0,0.0,2.233333333333331,1.1735135968412267,0,7,2,case14.csv,6,6,6,6,0,0,6,6,3
65.9333333333322,343.279347130035,-87.0810964073595,0.976248771281643,0,2,30.308627484593863,-4.212000000000003,1197.604610977683,4.738037228566361,-3592.890039059006,-0.5601340059192651,0.0,0,7,0.0,3,2.233333333333331,1.1735135968412267,0.0,0.0,2.2666666666666644,1.183770097008416,0,7,2,case14.csv,6,6,6,6,0,0,6,6,3
65.9666666666655,342.813714967233,-87.4126788842246,1.11404877128164,0,2,17.148884074471855,-4.133999999999915,1198.176240446832,4.740298744329532,-3595.8037950218136,-0.44103140297113946,0.0,0,7,0.0,3,2.2666666666666644,1.183770097008416,0.0,0.0,2.2999999999999976,1.1939224684724339,0,7,2,case14.csv,6,6,6,6,0,0,6,6,3
65.9999999999988,342.151068177424,-87.854189339317,1.27004877128164,0,2,23.88784261920836,-4.680000000000002,1198.9725018674724,4.7434489628741865,-3598.732267999791,-0.2962342910801423,0.0,0,7,0.0,3,2.2999999999999976,1.1939224684724339,0.0,0.0,2.333333333333331,1.2039728043259352,0,7,2,case14.csv,6,6,6,6,0,0,6,6,3
